Alumna Circle Status,Last (Family) Name,First (Given) Name,Encoded ID,Current Region,Current Subregion,Current Circle ID,Current Co-Leader?,Current/ Continuing Meeting Day,Current/ Continuing Meeting Time,GSB Degree,GSB Class Year,Requested Region From Form,1st Choice Subregion/ Time Zone,2nd Choice Subregion/ Time Zone,3rd Choice Subregion/ Time Zone,"If Can't Place In-Person, Open to Virtual-Only?",1st Choice Days and Times of Week,2nd Choice Days and Times of Week,3rd Choice Days and Times of Week,Days & Times Additional Info,Employment Status,Industry Sector,Racial Identity,Gender Identity,Sexual Orientation,Relationship Status,Children,Special Needs?,Volunteering to Host?,(Non CLs) Volunteering to Co-Lead?,Co-Leader Response: Meeting Format,Co-Leader Response: Hosts,Co-Leader Response: Max New Member Requested,Co-Leader Response: Anything You are Looking for in New Members,Co-Leader Response: Day(s),Co-Leader Response: Times,Co-Leader Response:  CL in 2025?,Completed Form? Y/P,Preferred Email,Home City,Home State,Home Country,Home Phone,Business City,Business State,Business Country,Business Phone,Mobile Phone,"If already in 2 Circles, list both regions","If asking to join 2nd Circle, what is the 2nd region?",Additional Comments From Form,Region Edit Made by tar
Current-CONTINUING,Last Name 903,First Name 903,64120399829,Atlanta,Atlanta,IP-ATL-1,No,Varies,Varies,MBA,2012,,,,,,,,,,"Self-employed,Looking for work,Volunteer,Other (specify)","Consulting,Consumer Products",Black or African American,Woman,Straight,Married,No children,No,Always,No,,,0,,,,,Y,Email 903,Atlanta,GA,United States,(913) 568-9700,Atlanta,GA,United States,,(913) 568-9700,,Atlanta,,
NEW to Circles,Last Name 1195,First Name 1195,70507790559,,,,,,,MBA,2014,Chicago,City - Loop,City - Northside (Lincoln Park/Lakeview),,Yes,Monday-Thursday (Evenings),,Sunday (Days),,"Employed part-time for wages,Self-employed,Looking for work","Consulting,Finance",Black or African American,Woman,Straight,Married,No children,No,,No,,,,,,,,Y,Email 1198,,,,,,,,,,,,,
NEW to Circles,Last Name 1196,First Name 1196,77452990681,,,,,,,MSM,2014,Chicago,City - Loop,City - Northside (Lincoln Park/Lakeview),,Yes,Sunday (Evenings),Monday-Thursday (Evenings),Sunday (Days),,"Employed part-time for wages,Self-employed,Looking for work","Consulting,Finance",Black or African American,Woman,Straight,Married,No children,No,,No,,,,,,,,Y,Email 1198,,,,,,,,,,,,,
NEW to Circles,Last Name 1197,First Name 1197,76615779543,,,,,,,MBA,2014,Chicago,City - Loop,City - Northside (Lincoln Park/Lakeview),,Yes,Sunday (Evenings),Monday-Thursday (Evenings),Sunday (Days),,"Employed part-time for wages,Self-employed,Looking for work","Consulting,Finance",Black or African American,Woman,Straight,Married,No children,No,,No,,,,,,,,Y,Email 1198,,,,,,,,,,,,,
NEW to Circles,Last Name 1198,First Name 1198,77014731755,,,,,,,MBA,2014,Chicago,City - Loop,City - Northside (Lincoln Park/Lakeview),,Yes,Sunday (Evenings),Monday-Thursday (Evenings),Sunday (Days),,"Employed part-time for wages,Self-employed,Looking for work","Consulting,Finance",Black or African American,Woman,Straight,Married,No children,No,,No,,,,,,,,Y,Email 1198,,,,,,,,,,,,,
NEW to Circles,Last Name 1199,First Name 1199,70639598278,,,,,,,MBA,2014,Chicago,City - Loop,City - Northside (Lincoln Park/Lakeview),,Yes,Sunday (Evenings),Monday-Thursday (Evenings),Sunday (Days),,"Employed part-time for wages,Self-employed,Looking for work","Consulting,Finance",Black or African American,Woman,Straight,Married,No children,No,,No,,,,,,,,Y,Email 1198,,,,,,,,,,,,,
NEW to Circles,Last Name 1200,First Name 1200,55624910698,,,,,,,MBA,2014,Chicago,City - Loop,City - Northside (Lincoln Park/Lakeview),,Yes,Sunday (Evenings),Monday-Thursday (Evenings),Sunday (Days),,"Employed part-time for wages,Self-employed,Looking for work","Consulting,Finance",Black or African American,Woman,Straight,Married,No children,No,,No,,,,,,,,Y,Email 1198,,,,,,,,,,,,,
NEW to Circles,Last Name 1201,First Name 1201,74451852486,,,,,,,MBA,1986,Chicago,City - Loop,City - Northside (Lincoln Park/Lakeview),,Yes,Sunday (Evenings),Monday-Thursday (Evenings),Sunday (Days),,"Employed part-time for wages,Self-employed,Looking for work","Consulting,Finance",Black or African American,Woman,Straight,Married,No children,No,,No,,,,,,,,Y,Email 1198,,,,,,,,,,,,,
NEW to Circles,Last Name 1202,First Name 1202,47678960047,,,,,,,MBA,1986,Chicago,City - Loop,City - Northside (Lincoln Park/Lakeview),,Yes,Sunday (Evenings),Monday-Thursday (Evenings),Sunday (Days),,"Employed part-time for wages,Self-employed,Looking for work","Consulting,Finance",Black or African American,Woman,Straight,Married,No children,No,,No,,,,,,,,Y,Email 1198,,,,,,,,,,,,,
NEW to Circles,Last Name 1203,First Name 1203,76169866047,,,,,,,MBA,1986,Chicago,City - Loop,City - Northside (Lincoln Park/Lakeview),,Yes,Sunday (Evenings),Monday-Thursday (Evenings),Sunday (Days),,"Employed part-time for wages,Self-employed,Looking for work","Consulting,Finance",Black or African American,Woman,Straight,Married,No children,No,,No,,,,,,,,Y,Email 1198,,,,,,,,,,,,,
NEW to Circles,Last Name 1204,First Name 1204,50052592499,,,,,,,MBA,1986,Chicago,City - Loop,City - Northside (Lincoln Park/Lakeview),,Yes,Sunday (Evenings),Monday-Thursday (Evenings),Sunday (Days),,"Employed part-time for wages,Self-employed,Looking for work","Consulting,Finance",Black or African American,Woman,Straight,Married,No children,No,,No,,,,,,,,Y,Email 1198,,,,,,,,,,,,,
NEW to Circles,Last Name 1205,First Name 1205,59658640445,,,,,,,MBA,1986,Chicago,City - Loop,City - Northside (Lincoln Park/Lakeview),,Yes,Sunday (Evenings),Monday-Thursday (Evenings),Sunday (Days),,"Employed part-time for wages,Self-employed,Looking for work","Consulting,Finance",Black or African American,Woman,Straight,Married,No children,No,,No,,,,,,,,Y,Email 1198,,,,,,,,,,,,,
NEW to Circles,Last Name 1206,First Name 1206,74443671043,,,,,,,MBA,1986,Chicago,City - Loop,City - Northside (Lincoln Park/Lakeview),,Yes,Sunday (Evenings),Monday-Thursday (Evenings),Sunday (Days),,"Employed part-time for wages,Self-employed,Looking for work","Consulting,Finance",Black or African American,Woman,Straight,Married,No children,No,,No,,,,,,,,Y,Email 1198,,,,,,,,,,,,,
NEW to Circles,Last Name 1207,First Name 1207,75037287917,,,,,,,MBA,1970,Chicago,City - Loop,City - Northside (Lincoln Park/Lakeview),,Yes,Sunday (Evenings),Monday-Thursday (Evenings),Sunday (Days),,"Employed part-time for wages,Self-employed,Looking for work","Consulting,Finance",Black or African American,Woman,Straight,Married,No children,No,,No,,,,,,,,Y,Email 1198,,,,,,,,,,,,,
NEW to Circles,Last Name 1208,First Name 1208,76613145178,,,,,,,MBA,1970,Chicago,City - Loop,City - Northside (Lincoln Park/Lakeview),,Yes,Sunday (Evenings),Monday-Thursday (Evenings),Sunday (Days),,"Employed part-time for wages,Self-employed,Looking for work","Consulting,Finance",Black or African American,Woman,Straight,Married,No children,No,,No,,,,,,,,Y,Email 1198,,,,,,,,,,,,,
NEW to Circles,Last Name 1209,First Name 1209,48078369545,,,,,,,MBA,1970,Chicago,City - Loop,City - Northside (Lincoln Park/Lakeview),,Yes,Sunday (Evenings),Monday-Thursday (Evenings),Sunday (Days),,"Employed part-time for wages,Self-employed,Looking for work","Consulting,Finance",Black or African American,Woman,Straight,Married,No children,No,,No,,,,,,,,Y,Email 1198,,,,,,,,,,,,,
NEW to Circles,Last Name 1210,First Name 1210,79779194622,,,,,,,MSM,1970,Chicago,City - Loop,City - Northside (Lincoln Park/Lakeview),,Yes,Sunday (Evenings),Monday-Thursday (Evenings),Sunday (Days),,"Employed part-time for wages,Self-employed,Looking for work","Consulting,Finance",Black or African American,Woman,Straight,Married,No children,No,,No,,,,,,,,Y,Email 1198,,,,,,,,,,,,,
NEW to Circles,Last Name 1211,First Name 1211,60600967717,,,,,,,MBA,1970,Chicago,City - Loop,City - Northside (Lincoln Park/Lakeview),,Yes,Sunday (Evenings),Monday-Thursday (Evenings),Sunday (Days),,"Employed part-time for wages,Self-employed,Looking for work","Consulting,Finance",Black or African American,Woman,Straight,Married,No children,No,,No,,,,,,,,Y,Email 1198,,,,,,,,,,,,,
NEW to Circles,Last Name 1212,First Name 1212,73178122097,,,,,,,MBA,1970,Chicago,City - Loop,City - Northside (Lincoln Park/Lakeview),,Yes,Sunday (Evenings),Monday-Thursday (Evenings),Sunday (Days),,"Employed part-time for wages,Self-employed,Looking for work","Consulting,Finance",Black or African American,Woman,Straight,Married,No children,No,,No,,,,,,,,Y,Email 1198,,,,,,,,,,,,,
Current-MOVING INTO Region,Last Name 1112,First Name 1112,67659395829,New York,Brooklyn Heights/Downtown Brooklyn,IP-NYC-20,Yes,Wednesday,Evenings,SLO,2022,Peninsula,Menlo Park,Palo Alto,Redwood City / San Carlos,No,Monday-Friday (Days),Monday-Thursday (Evenings),Sunday (Evenings),I'm happy to accommodate any schedule to join an in person group in the peninsula!,Self-employed,"Consulting,Finance,Technology",White or European,Woman,Other (specify),Married,Children 5 and under,No,Always,,,,,,,,,Y,,,,,,,,,,,,,,
Current-MOVING INTO Region,Last Name 1114,First Name 1114,57062438944,New York,Upper East Side,IP-NYC-06,No,Tuesday,Evenings,MBA,1998,Peninsula,Mountain View / Los Altos,Los Altos Hills,Sunnyvale,Yes,Monday-Thursday (Evenings),Sunday (Evenings),Saturday (Days),I'm in my 50s with a high school teen. Would like to have other women either have high school teens or in my age group in the circle. Thanks!,Self-employed,"Consulting,Education,Finance,Technology",Asian or Asian American,Woman,Straight,Divorced,Children 6 through 17,No,,,,,,,,,,Y,,,,,,,,,,,,,,
Current-MOVING INTO Region,Last Name 1120,First Name 1120,76106084591,San Francisco,Mid Market/SoMa,IP-SFO-23,Yes,Wednesday,Evenings,MBA,2021,Peninsula,Palo Alto,Menlo Park,Redwood City / San Carlos,Yes,Monday-Thursday (Evenings),Saturday (Days),Sunday (Days),,Looking for work,Technology,Asian or Asian American,Woman,Straight,Married,No children,No,Sometimes,,,,,,,,,Y,,,,,,,,,,,,,,
Current-MOVING INTO Region,Last Name 1122,First Name 1122,66094970718,San Francisco,Mid Market/SOMA,IP-SFO-28,No,,,MBA,2007,Peninsula,Mid-Peninsula,,,Yes,Monday-Thursday (Evenings),,,"I live in South San Francisco and would like a circle closest to South San Francisco, including areas such as Glen Park / Mission. Ideally, I can be matched with women closer to my age (46).",Self-employed,"Consulting,Finance,Technology","Asian or Asian American,Hispanic or Latino/a",Woman,Straight,Long-term partnership,Adult children,Yes (provide comments),Sometimes,,,,,,,,,Y,,,,,,,,,,,,,,
Current-MOVING INTO Region,Last Name 1129,First Name 1129,69995968233,San Francisco,Russian Hill/Nob Hill/North Beach,IP-SFO-06,Yes,Thursday,Evenings,MBA,2014,Peninsula,Palo Alto,Menlo Park,Los Altos Hills,No,Monday-Thursday (Evenings),,,,Employed full-time for wages,"Finance,Technology",White or European,Woman,Straight,Married,Children 5 and under,No,,,,,,,,,,Y,,,,,,,,,,,,,,
Current-MOVING INTO Region,Last Name 1138,First Name 1138,76215863054,San Francisco,Hayes/Napa/Haight,IP-SFO-12,No,Varies,Varies,SLO,2021,Peninsula,Palo Alto,,,No,Monday-Thursday (Evenings),,,I want to join the MSx circle 2021 class. Meets in Palo Alto/Redwood city/San Francisco. Classmates in the circle are happy to add me.,Self-employed,Healthcare,Asian or Asian American,Woman,Straight,Married,Children 6 through 17,,Sometimes,,,,,,,,,Y,,,,,,,,,,,,,,
NEW to Circles,Last Name 1210,First Name 1210,79779194622,,,,,,,MSM,2024,Peninsula,Palo Alto,Los Altos Hills,Menlo Park,No,Monday-Thursday (Evenings),Monday-Friday (Days),Sunday (Evenings),,Self-employed,Consumer Products,White or European,Woman,Straight,Married,Children 5 and under,No,Sometimes,No,,,,,,,,Y,Email 1210,Stanford,CA,United States,,,,,,(650) 407-8845,,,,
NEW to Circles,Last Name 1216,First Name 1216,77921619362,,,,,,,MSM,2024,Peninsula,Menlo Park,Palo Alto,Mountain View / Los Altos,No,Monday-Thursday (Evenings),Sunday (Evenings),,,"Employed full-time for wages,Looking for work",Non-profit,White or European,Woman,Straight,Married,Children 5 and under,No,Sometimes,No,,,,,,,,Y,Email 1216,Menlo Park,CA,United States,(650) 353-0493,,,,,(760) 586-4242,,,,
NEW to Circles,Last Name 1220,First Name 1220,79527896083,,,,,,,MSM,2024,Peninsula,Palo Alto,Mountain View / Los Altos,Menlo Park,No,Monday-Thursday (Evenings),,,,Employed full-time for wages,Technology,White or European,Woman,Straight,Married,"Children 5 and under,Children 6 through 17",No,Sometimes,No,,,,,,,,Y,Email 1220,Palo Alto,CA,United States,,,,,(669) 248-0920,(669) 248-0920,,,I live in Palo Alto and also updated address in alumni directory but it still shows as Mountain View,
NEW to Circles,Last Name 1230,First Name 1230,74451772958,,,,,,,MSM,2023,Peninsula,Palo Alto,Menlo Park,Mountain View / Los Altos,No,Sunday (Evenings),Saturday (Days),,I work in a startup so my weekdays are a little hectic. I'd prefer to meet over the weekends.,Employed full-time for wages,Technology,Asian or Asian American,Woman,Straight,Single,No children,,Sometimes,No,,,,,,,,Y,Email 1230,Palo Alto,CA,United States,,,,,,,,,,
NEW to Circles,Last Name 1240,First Name 1240,74485363597,,,,,,,MBA,2019,Peninsula,Palo Alto,Mountain View / Los Altos,Menlo Park,Yes,Monday-Thursday (Evenings),Sunday (Days),Sunday (Evenings),,Employed full-time for wages,Technology,Asian or Asian American,Woman,Straight,Married,Children 5 and under,No,Sometimes,No,,,,,,,,Y,Email 1240,Palo Alto,CA,United States,(650) 309-8797,Mountain View,CA,United States,,,,,,
NEW to Circles,Last Name 1241,First Name 1241,222371367708,,,,,,,SEP,2015,Peninsula,Los Altos Hills,Palo Alto,Mountain View / Los Altos,No,Monday-Thursday (Evenings),Sunday (Evenings),Monday-Friday (Days),I have moved to Los Altos Hills two years ago. Would love to be put in the groups in Los Altos Hills if possible. Thanks,Self-employed,"Consulting,Education,Technology",Asian or Asian American,Woman,Straight,Married,"Children 6 through 17,Adult children",No,Sometimes,Yes,,,,,,,,Y,Email 1241,Los Altos Hills,CA,United States,(919) 455-7785,,,,,(919) 455-7785,,,,
NEW to Circles,Last Name 1243,First Name 1243,58120081816,,,,,,,MBA,1999,Peninsula,San Mateo,Redwood City / San Carlos,Menlo Park,No,Monday-Friday (Days),Monday-Thursday (Evenings),,,Full-time parent or caregiver,"Consulting,Finance",Asian or Asian American,Woman,Straight,Married,"Children 6 through 17,Adult children",No,Sometimes,No,,,,,,,,Y,Email 1243,Burlingame,CA,United States,(415) 305-5546,,,,,(415) 305-5546,,,,
